,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
58,"P*Tain de m*Rde",Naza,51596,https://open.spotify.com/track/1OYliHobfsVlwcnQqtSSEE
59,"La fuite - Vegedream X Dj Leska / Edit MIx",Vegedream,51546,https://open.spotify.com/track/19IXPRtUuKFwIqJSFPY8zz
60,"Bucci Night",Yaro,50593,https://open.spotify.com/track/03O32oEi0jJsbmcHMjCPBD
61,"Hit Sale (feat. Roméo Elvis)","Therapie TAXI",50510,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
62,Arrivant,Timal,50450,https://open.spotify.com/track/6dN7nkvH6HaRxVQETt6agT
63,G.O.K.O.U,Kaaris,49132,https://open.spotify.com/track/3KXoXnPIGBDz5ScITuOdgP
64,"Taste (feat. Offset)",Tyga,48799,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
65,"Oh Child","Robin Schulz",48090,https://open.spotify.com/track/2xw9PXlt8IaCWZjfpJ2HPL
66,"SICKO MODE","Travis Scott",47098,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
67,STARGAZING,"Travis Scott",46944,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
68,"My Life Is Going On - Cecilia Krull vs. Gavin Moss","Cecilia Krull",46802,https://open.spotify.com/track/5ljDRYaFEZy9INmM8Fl81e
69,Fendi,Ninho,46099,https://open.spotify.com/track/7BtAkqRFQjvOYOq5k5mlCb
70,"God is a woman","Ariana Grande",45516,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
71,Country,Niska,45170,https://open.spotify.com/track/7k5HgarMbFipRP0y1Ko8Fc
72,"God's Plan",Drake,44081,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
73,"no tears left to cry","Ariana Grande",43727,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
74,"Te Boté - Remix","Nio Garcia",43676,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
75,Bandolero,"Moha La Squale",43619,https://open.spotify.com/track/7sL89oFc1AcgjG5Q6tCkID
76,C63,"Djadja & Dinaz",43332,https://open.spotify.com/track/0UWuvYw1DPoiwif7KMmtsl
77,"Ténébreux #1","Koba LaD",43264,https://open.spotify.com/track/13AUrZzDjQujeXMh8kTVIU
78,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",43146,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
79,"Remind Me to Forget",Kygo,42770,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
80,"My Love","Martin Solveig",42131,https://open.spotify.com/track/7pZ00FeIkpuzHskuDWQnU5
81,"Bob Marley",Dadju,41038,https://open.spotify.com/track/2qXmVc811574AdIdDgayRP
82,"Jusqu'au dernier gramme",PNL,40080,https://open.spotify.com/track/2jBleFNl3YK8lyJc1OvxXt
83,Bwo,Jul,39684,https://open.spotify.com/track/4De1ry2yC79qVUR2So9to8
84,"Shape of You","Ed Sheeran",39321,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
85,"De l'autre côté (feat. Nekfeu)",Ninho,39203,https://open.spotify.com/track/3ldfGgw7IoLHbaqmspX3ME
