,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Besos En Guerra",Morat,5139,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
57,Dicen,"Matt Hunter",5076,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
58,"Más Fuerte",Greeicy,5001,https://open.spotify.com/track/2fKwgxMdLZ1IZPUXEG1Si7
59,"La Vida Sin Ti","Piso 21",4893,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
60,"Me Rehúso","Danny Ocean",4834,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
61,"No Te Vas",Nacho,4825,https://open.spotify.com/track/21Dt0T82tst15r3HCIM2Ku
62,Esperándote,"Manuel Turizo",4816,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
63,"Se Vuelve Loca",CNCO,4757,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
64,Pineapple,"Karol G",4754,https://open.spotify.com/track/2RXzzOxmBlffT81fjwBSVh
65,Bella,Wolfine,4731,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
66,"Quiere Beber","Anuel Aa",4714,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
67,"Shape of You","Ed Sheeran",4687,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
68,"Mi Mala - Remix","Mau y Ricky",4512,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
69,"Loca Remix",Khea,4505,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
70,Criminal,"Natti Natasha",4503,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
71,"La Correcta",Nabález,4325,https://open.spotify.com/track/1ISamB2lPDAeKb4Js2hLgq
72,"Pa Dentro",Juanes,4259,https://open.spotify.com/track/7flNdUykV5LYDRv8wQDbsx
73,"Ahora Te Puedes Marchar","Luis Miguel",4243,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
74,Believer,"Imagine Dragons",4183,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
75,Triste,"Bryant Myers",4151,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
76,"El Farsante - Remix",Ozuna,4128,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
77,"Suena El Dembow","Joey Montana",4094,https://open.spotify.com/track/0woHVOh3KXLSDv8VU9XwZ4
78,"Por Pura Curiosidad",Fonseca,4084,https://open.spotify.com/track/1kLTaKK1qbtGuxggUtz8iz
79,"Quiero Volver",TINI,4074,https://open.spotify.com/track/1jcAZRfufvi67KWnwRmizE
80,IDGAF,"Dua Lipa",4056,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
81,Corazón,Maluma,4033,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
82,Medicina,Anitta,4022,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
83,"No Brainer","DJ Khaled",4001,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
84,Brindemos,"Anuel Aa",3980,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
85,"New Rules","Dua Lipa",3892,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
86,"Échame La Culpa","Luis Fonsi",3892,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
87,Downtown,Anitta,3846,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
88,"La Incondicional","Luis Miguel",3845,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
89,"Solo (feat. Demi Lovato)","Clean Bandit",3821,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
90,"Otra Vez (feat. J Balvin)","Zion & Lennox",3755,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
91,Sensualidad,"Bad Bunny",3652,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
92,"Un Poquito","Diego Torres",3642,https://open.spotify.com/track/5pH8g37XIkQej0AnlfQgNS
93,"Punto Y Aparte",Morat,3641,https://open.spotify.com/track/6RiV6DnCbfc0b2KbNvumdP
94,"Una Lady Como Tú","Manuel Turizo",3631,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
95,Caraluna,Bacilos,3572,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
96,"Que Va","Alex Sensation",3563,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
97,"Vivo Pensando En Ti","Felipe Peláez",3560,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774
98,"Culpable O No - Miénteme Como Siempre","Luis Miguel",3554,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
99,"Quiero Repetir",Ozuna,3514,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
100,Solita,Ozuna,3511,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
101,"Simples Corazones",Fonseca,3495,https://open.spotify.com/track/6SVEw266UzbkAKfCLeBPGy
102,Dura,"Daddy Yankee",3488,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
103,"Se Preparó",Ozuna,3469,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
104,SAD!,XXXTENTACION,3464,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
105,SUTRA,"Sebastian Yatra",3447,https://open.spotify.com/track/0lTYnxJdC68v0oXd5xolxY
106,Perfect,"Ed Sheeran",3437,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
107,"God's Plan",Drake,3433,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
108,Dimelo,"Paulo Londra",3414,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
109,"Qué Tienes Tú",Dvicio,3394,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
110,Solo,Amenazzy,3368,https://open.spotify.com/track/7mTWMsbnRPGmyLOEaImXOU
111,Usted,"Juan Magán",3366,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
112,"La llave (feat. Piso 21)","Pablo Alborán",3351,https://open.spotify.com/track/0nJUoF6tA031X6zvX9ee4R
113,"Consejo de Amor",TINI,3307,https://open.spotify.com/track/1zHQ5gjJoNxT4RYFmGEWuo
114,"Déjate Llevar","Juan Magán",3301,https://open.spotify.com/track/4hXAdUl4nAnSPc9thzP2E2
115,"La flaca","Jarabe De Palo",3280,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
116,Amorfoda,"Bad Bunny",3260,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
117,"Bajo El Agua","Manuel Medrano",3228,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g
118,"Por Hacerme el Bueno",Bacilos,3228,https://open.spotify.com/track/5kTBmo3zNcnlm6saZRFrHR
119,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",3181,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
120,"Escápate Conmigo (feat. Ozuna)",Wisin,3174,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
