,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,W.L.G,Niska,8942,https://open.spotify.com/track/13E2wgUjmdunrlq3Vbxv8T
56,"New Rules","Dua Lipa",8742,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
57,"Feu de bois",Damso,8639,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
58,X,"Nicky Jam",8520,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
59,"Bella ciao - HUGEL Remix","El Profesor",8507,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
60,Nonstop,Drake,8496,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
61,"The Middle",Zedd,8433,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
62,Dura,"Daddy Yankee",8400,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
63,"Air Max",Rim'K,8216,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
64,Natural,"Imagine Dragons",8183,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
65,"Jocelyn Flores",XXXTENTACION,8147,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
66,"La thune",Angèle,8047,https://open.spotify.com/track/5JlGAhWabxmwpyNyiEumzr
67,"In My Blood","Shawn Mendes",7918,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
68,"High On Life (feat. Bonn)","Martin Garrix",7877,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
69,Smog,Damso,7874,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
70,Happier,"Ed Sheeran",7859,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
71,"Blah Blah Blah","Armin van Buuren",7786,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
72,SWISH,Tyga,7778,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
73,"I'm Yours","Jason Mraz",7688,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
74,Zoutelande,BLØF,7500,https://open.spotify.com/track/1dCaSvUR92UgJZwmNxnqZV
75,Drama,Bizzey,7458,https://open.spotify.com/track/7iQKG3ZjRF4EEhUulo514R
76,"Nice For What",Drake,7362,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
77,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,7349,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
78,"I'm a Mess","Bebe Rexha",7215,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
79,Thunder,"Imagine Dragons",7169,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
80,Africa,Toto,7165,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
81,Believer,"Imagine Dragons",6926,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
82,"Only You (with Little Mix)","Cheat Codes",6781,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
83,"If You're Over Me","Years & Years",6671,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
84,"Psycho (feat. Ty Dolla $ign)","Post Malone",6633,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
85,"Wake Me Up - Radio Edit",Avicii,6477,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
86,"Side Effects","The Chainsmokers",6410,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
87,Perfect,"Ed Sheeran",6321,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
88,"Mafiosa (feat. Caroliina)",Lartiste,6252,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
89,"Dancing in the Moonlight",Jubel,6220,https://open.spotify.com/track/5ow0sNF1zSqp71Ix5jEXWU
90,"Without You (feat. Sandro Cavazza)",Avicii,6135,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
91,"Look At Me!",XXXTENTACION,6028,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
92,"Verover Mij - Uit Liefde Voor Muziek","Niels Destadsbader",5960,https://open.spotify.com/track/1RFNZE1B8vJFCSKujPVkZt
93,Darkside,"Alan Walker",5836,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
94,Clandestino,Shakira,5774,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
95,Crazy,"Lost Frequencies",5708,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
96,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",5643,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
97,"Too Good At Goodbyes","Sam Smith",5575,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
98,"Like I Do","David Guetta",5467,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
99,Halo,Beyoncé,5428,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
100,HUMBLE.,"Kendrick Lamar",5409,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
101,Habitué,Dosseh,5333,https://open.spotify.com/track/76HlSm9QxyXxpks5HTYS0F
102,"lovely (with Khalid)","Billie Eilish",5262,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
103,"Te Boté - Remix","Nio Garcia",5258,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
104,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5246,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
105,LIT,SBMG,5131,https://open.spotify.com/track/76OfzNtY3nG5hCnh5COSjt
106,"All of Me","John Legend",5110,https://open.spotify.com/track/3uhBIQ7tv8j1FME8cFGEfG
