,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,Moonlight,XXXTENTACION,2194,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
57,Flames,"David Guetta",2192,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
58,"This Is America","Childish Gambino",2151,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
59,"Be Alright","Dean Lewis",2146,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
60,"rockstar (feat. 21 Savage)","Post Malone",2127,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
61,"Born To Be Yours",Kygo,2084,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
62,"Love Lies (with Normani)",Khalid,2056,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
63,"Look Alive (feat. Drake)","BlocBoy JB",2053,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
64,Havana,"Camila Cabello",2051,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
65,X,"Nicky Jam",1982,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
66,"בא לי לחבק אותך","Eden Ben Zaken",1979,https://open.spotify.com/track/79rIOM1AMTqsAFaR1CeVOX
67,"Shape of You","Ed Sheeran",1968,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
68,Natural,"Imagine Dragons",1949,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
69,"Shetisaref Ha'ahava","Itay Levi",1935,https://open.spotify.com/track/22okrfIxCwkdvI0wal1BcK
70,"Ocean (feat. Khalid)","Martin Garrix",1924,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
71,SWISH,Tyga,1920,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
72,Thunder,"Imagine Dragons",1861,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
73,"I'm a Mess","Bebe Rexha",1851,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
