,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Your Lovin' (feat. MØ & Yxng Bane)","Steel Banglez",101598,https://open.spotify.com/track/1p6Sc7zeA9dMIDT1mIpCJ1
58,"When I Kissed The Teacher","Lily James",100018,https://open.spotify.com/track/1WOBzx0R3hyphrI1AUv4Zu
59,"Psycho (feat. Ty Dolla $ign)","Post Malone",97138,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
60,"Be Alright","Dean Lewis",96974,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
61,"The Greatest Show","Hugh Jackman",96777,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
62,"Jocelyn Flores",XXXTENTACION,95162,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
63,"Beautiful (feat. Camila Cabello)",Bazzi,94592,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
64,6:30,Geko,94041,https://open.spotify.com/track/6lU7kJ6k1oUew36PbPl15E
65,"Answerphone (feat. Yxng Bane)","Banx & Ranx",93882,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
66,London,"AJ x Deno",91257,https://open.spotify.com/track/0lstGz2advSx5VqY8olvzt
67,"Man Down (feat. AlunaGeorge)",Shakka,91041,https://open.spotify.com/track/1keIwLlHg0VZhoQQiTb0Xi
68,Flames,"David Guetta",90841,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
69,"Born To Be Yours",Kygo,88669,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
70,"Rewrite The Stars","Zac Efron",88662,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
71,"Barbie Dreams","Nicki Minaj",86691,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
72,"Why Did It Have To Be Me?","Josh Dylan",86588,https://open.spotify.com/track/6rekLbbb3i42gCgFIXOFvE
73,Familiar,"Liam Payne",85547,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
74,changes,XXXTENTACION,83912,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
75,"Shape of You","Ed Sheeran",83108,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
76,"A Million Dreams","Ziv Zaifman",82496,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
77,SWISH,Tyga,79481,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
78,"Love It If We Made It","The 1975",79363,https://open.spotify.com/track/7MRY4VpCuZvBmFda6ZCk2G
79,"Mr. Brightside","The Killers",78602,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
80,"Look Alive (feat. Drake)","BlocBoy JB",78019,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
81,Havana,"Camila Cabello",77743,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
82,"Love Lies (with Normani)",Khalid,77062,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
83,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,76808,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
84,"I'm a Mess","Bebe Rexha",76309,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
85,"New Rules","Dua Lipa",76297,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
86,"Never Enough","Loren Allred",74436,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
87,"Majesty (feat. Eminem & Labrinth)","Nicki Minaj",74409,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
88,"Freaky Friday (feat. Chris Brown)","Lil Dicky",73724,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
89,"Happy Now",Zedd,72883,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
90,"The Other Side","Hugh Jackman",72692,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
91,17,MK,71862,https://open.spotify.com/track/15DwFznkBJir7AK9PyMyRR
92,"Feel It Still","Portugal. The Man",71466,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
93,"Waterloo - From ""Mamma Mia! Here We Go Again""","Hugh Skinner",71463,https://open.spotify.com/track/37RKadHJqPuVzlM0tDBC3N
94,"Mamma Mia","Lily James",71066,https://open.spotify.com/track/717z018DWodjJnW6DE7t4z
95,FRIENDS,Marshmello,70481,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
96,"Angel Eyes","Christine Baranski",69055,https://open.spotify.com/track/6ERUsU7mPnu6sUQptDACkA
97,Africa,Toto,68457,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
98,"I Fall Apart","Post Malone",67118,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
99,"Side Effects","The Chainsmokers",67079,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
100,IDGAF,"Dua Lipa",66000,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
101,"Andante, Andante","Lily James",65885,https://open.spotify.com/track/4pKTaU9Vm7nC5tC0mxjxfI
102,Vroom,"Yxng Bane",65766,https://open.spotify.com/track/7eiqpFevZkE7iHDfNm6VA0
103,"I'm Upset",Drake,65745,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
104,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",64553,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
105,"You Deserve Better","James Arthur",64259,https://open.spotify.com/track/4S1GTwPVpkSy7CsJIDKPEz
106,"BUTTERFLY EFFECT","Travis Scott",64185,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
107,"Gucci Mane","D-Block Europe",63470,https://open.spotify.com/track/6GUIJ8E7U2yF4plRiEEGKL
108,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",62511,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
109,"Who Am I? (feat. Bugzy Malone)","Kojo Funds",62384,https://open.spotify.com/track/2ccB04JyAmTQGg2RN9FlcX
110,"Come Alive","Hugh Jackman",62323,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g
111,"From Now On","Hugh Jackman",62303,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO
112,"Lost Without You","Freya Ridings",62123,https://open.spotify.com/track/3QlF2ExmrRP0RM7ffv7y0Q
113,Budapest,"George Ezra",61167,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
114,"Wonderwall - Remastered",Oasis,60355,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
115,Boasy,Avelino,59902,https://open.spotify.com/track/68YYKjdbD8VfGHPhXZaPsB
116,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,59801,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
117,YOSEMITE,"Travis Scott",59671,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
118,"One Of Us","Amanda Seyfried",59551,https://open.spotify.com/track/71CU7N8x2l4b5DEHPXxZfE
119,Unforgettable,"French Montana",59432,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
120,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM","Jason Derulo",59248,https://open.spotify.com/track/7wD6iRghe6SnKHkvHqpnC5
121,"Mob Ties",Drake,58972,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
122,"All Girls Are The Same","Juice WRLD",58547,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
123,Riptide,"Vance Joy",58017,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
124,Friends,RAYE,57945,https://open.spotify.com/track/34KTVmypyKLAFJc8CpfI5P
125,Chun-Li,"Nicki Minaj",57703,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
126,Jumanji,"B Young",57545,https://open.spotify.com/track/4PzsYXrHh4r2BxtpNjtvoF
127,"Everybody Dies In Their Nightmares",XXXTENTACION,56957,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
128,"Look At Me!",XXXTENTACION,56769,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
129,Run,"Bugzy Malone",56731,https://open.spotify.com/track/1nIHpufnp5TZLgqigbVIhI
130,Believer,"Imagine Dragons",56643,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
131,"I'm Yours","Jason Mraz",55984,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
132,"Ganja Burns","Nicki Minaj",55814,https://open.spotify.com/track/3LHYmz86DxGInsRp3wiiW5
133,"One Dance",Drake,55554,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
134,"In My Blood","Shawn Mendes",55290,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
135,"Family Tree",Ramz,55210,https://open.spotify.com/track/17Bq9GjpPbiD1tRvfoMnJK
136,"Feels Like Home",Sigala,55209,https://open.spotify.com/track/0VoQCaHK0kzgQ6fVtcLChy
137,CAROUSEL,"Travis Scott",54683,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
138,TOOTIMETOOTIMETOOTIME,"The 1975",54645,https://open.spotify.com/track/1avsdAHEznOhz5KFF04zOS
139,"WAKE UP","Travis Scott",54422,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
140,"Fernando - From ""Mamma Mia! Here We Go Again""",Cher,54249,https://open.spotify.com/track/4btXKZvLKtOfpIU4DR1MW5
141,"Boo'd Up","Ella Mai",54041,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
142,Naive,"The Kooks",53623,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
143,"River (feat. Ed Sheeran)",Eminem,53476,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
144,"Taking A Walk","Trippie Redd",53353,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
145,Baddest,"Amelia Monét",53077,https://open.spotify.com/track/4O2Ik3niDOidE9C47QB3GX
146,"XO TOUR Llif3","Lil Uzi Vert",53057,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
147,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",52823,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
148,"STOP TRYING TO BE GOD","Travis Scott",52810,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
149,"Too Good At Goodbyes","Sam Smith",52713,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
150,Perfect,"Ed Sheeran",52589,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
151,Natural,"Imagine Dragons",52566,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
152,"Castle on the Hill","Ed Sheeran",52451,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
153,"My Lover - Radio Edit",Not3s,52269,https://open.spotify.com/track/0A9y4c4dkI68IEnsRGtWil
154,Thunder,"Imagine Dragons",51485,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
155,"Don't Look Back in Anger - Remastered",Oasis,51238,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd
156,"Thunderclouds with Sia, Diplo & Labrinth",Sia,51218,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
157,"lovely (with Khalid)","Billie Eilish",51162,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
158,Barking,Ramz,51099,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
