,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,97075,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
57,"Zum Zum","Daddy Yankee",94150,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
58,Dicen,"Matt Hunter",93004,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
59,"In My Mind",Dynoro,92765,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
60,"Jackie Chan",Tiësto,92237,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
61,"God's Plan",Drake,91926,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
62,Believer,"Imagine Dragons",91798,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
63,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",91691,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
64,"Cuando Calienta El Sol","Luis Miguel",91375,https://open.spotify.com/track/3hVaK0zn3sVWWY8TvN1Te5
65,"Better Now","Post Malone",90586,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
66,"God is a woman","Ariana Grande",90388,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
67,"Se Preparó",Ozuna,88961,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
68,"New Rules","Dua Lipa",88367,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
69,"Tengo Todo Excepto A Ti","Luis Miguel",86761,https://open.spotify.com/track/27XboT5Wb8VOn7A0heo3Ei
70,Solita,Ozuna,86527,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
71,Seremos,"El Bebeto",84256,https://open.spotify.com/track/1ea25iz3zE8aLnbSZ5ZR92
72,"Duro y Suave","Leslie Grace",84123,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
73,"El Farsante - Remix",Ozuna,82669,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
74,Ambiente,"J Balvin",81207,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
75,"Una Lady Como Tú","Manuel Turizo",80016,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
76,Corazón,Maluma,79847,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
77,"La Vida Sin Ti","Piso 21",79371,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
78,Locos,"León Larregui",77146,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q
79,Probablemente,"Christian Nodal",76824,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
80,"rockstar (feat. 21 Savage)","Post Malone",76177,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
81,SAD!,XXXTENTACION,76157,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
82,"Loca Remix",Khea,75540,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
83,"Taste (feat. Offset)",Tyga,75022,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
84,"La flaca","Jarabe De Palo",74390,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
85,Thunder,"Imagine Dragons",74334,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
86,"Robarte un Beso","Carlos Vives",74216,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
87,"Otra Vez (feat. J Balvin)","Zion & Lennox",73715,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
88,Havana,"Camila Cabello",73587,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
89,"Escápate Conmigo (feat. Ozuna)",Wisin,73379,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
90,"El Clavo - Remix","Prince Royce",71759,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
91,Sensualidad,"Bad Bunny",71425,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
92,Perfect,"Ed Sheeran",71050,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
93,Downtown,Anitta,70780,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
94,Brillas,"León Larregui",70436,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
95,"Adiós Amor","Christian Nodal",70236,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
96,"Felices los 4",Maluma,69938,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
97,"Ya No Tiene Novio","Sebastian Yatra",69620,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
98,Esperándote,"Manuel Turizo",69373,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
99,"Devuelveme a mi chica","Hombres G",69180,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
100,Eres,"Café Tacvba",68792,https://open.spotify.com/track/6kdCN6gTWLcLxmLXoUcwuI
101,Traicionera,"Sebastian Yatra",68555,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
102,Hipócrita,"Anuel Aa",68553,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
103,Dura,"Daddy Yankee",68148,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
104,"Besos En Guerra",Morat,66023,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
105,"¿Qué Tiene?","Ximena Sariñana",65576,https://open.spotify.com/track/2vNDq5XAoF4Gl4hfY7aacS
106,"Calidad Y Cantidad","La Arrolladora Banda El Limón De Rene Camacho",65511,https://open.spotify.com/track/0nfp44XFmPrLDMMmYfNIP3
107,Amorfoda,"Bad Bunny",65422,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
108,"Que Va","Alex Sensation",65128,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
109,"Amigos No por Favor (Primera Fila) - En Vivo",Yuridia,65118,https://open.spotify.com/track/2hyAEExgoEfxrVJKUJTqZV
110,"Me Dediqué a Perderte","Alejandro Fernandez",64543,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
111,"Call Out My Name","The Weeknd",64508,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
112,Caraluna,Bacilos,64357,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
113,"Sé Que Te Duele","Alejandro Fernandez",64156,https://open.spotify.com/track/1OJkKHmXsZVKtWlECdpDAe
114,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",63460,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
115,Leve,"Cartel De Santa",63010,https://open.spotify.com/track/48yFrzTcnTCklWL9PRVZJj
116,"La Correcta",Nabález,62710,https://open.spotify.com/track/1ISamB2lPDAeKb4Js2hLgq
117,"A Través Del Vaso","Grupo Arranke",62704,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ
118,"La Mujer Perfecta",KURT,61503,https://open.spotify.com/track/0mAGeks6ns4FZWBPkjD9HR
119,changes,XXXTENTACION,61246,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
120,Suave,"Luis Miguel",61005,https://open.spotify.com/track/4p7XH4NhQ25iGYrrbg93gt
121,"3 A.M.","Jesse & Joy",60932,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
122,"Bohemian Rhapsody",Queen,60491,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
123,"Born To Be Yours",Kygo,60404,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
124,"Eso No Va a Suceder",Ha*Ash,59823,https://open.spotify.com/track/4FDV9Ed1NwD8n9zVYF6THT
125,"Mi Sorpresa Fuiste Tú","Calibre 50",59445,https://open.spotify.com/track/59S2kAfdUxi6k2Si8Vi0f3
126,"no tears left to cry","Ariana Grande",59386,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
127,"Be The One","Dua Lipa",59314,https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol
128,SUTRA,"Sebastian Yatra",59187,https://open.spotify.com/track/0lTYnxJdC68v0oXd5xolxY
129,"Cómo Te Atreves",Morat,59158,https://open.spotify.com/track/7M6CFruBrM5x7u0lTMtm6r
130,"Jocelyn Flores",XXXTENTACION,58556,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
131,"Si Te Vienen a Contar","Cartel De Santa",58547,https://open.spotify.com/track/4058DPUoC7sLPQ05pr3e4C
132,"Échame La Culpa","Luis Fonsi",58527,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
133,"Entre Beso Y Beso","La Arrolladora Banda El Limón De Rene Camacho",58261,https://open.spotify.com/track/7uL1ZsdxI8l4sgEsgCmTlG
134,"Me Hubieras Dicho","Joss Favela",58110,https://open.spotify.com/track/1hBa0pTzuMHJMTsT1898k7
135,Rise,"Jonas Blue",57714,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
136,"Quiero Repetir",Ozuna,57621,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
137,"Regrésame Mi Corazón","Carlos Rivera",57581,https://open.spotify.com/track/0bqCk0SQjka5Lj1quVT5C4
138,"A Lo Lejos Me Veran","El de La Guitarra",57500,https://open.spotify.com/track/3VHtIuKm8MvOTo81Usu2f5
139,"Mejor Me Alejo","Banda Sinaloense MS de Sergio Lizárraga",57493,https://open.spotify.com/track/6BBWzxX2rhG1YtI7Kzasqo
140,"Fría Como El Viento","Luis Miguel",57352,https://open.spotify.com/track/2J4qy8RyfwgXHt73cWOE6P
141,Azul,Zoé,57189,https://open.spotify.com/track/7ffkdwy4EvMSeUnPVSyqqw
142,Mayores,"Becky G",57179,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
143,Youngblood,"5 Seconds of Summer",56947,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
