,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
58,Ambiente,"J Balvin",2625,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
59,"Por Perro","Sebastian Yatra",2611,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
60,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",2523,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
61,Bandolera,"Anuel Aa",2500,https://open.spotify.com/track/3WapscF576b4Gw6tED2kWL
62,Nonstop,Drake,2484,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
63,"Te Amo","Piso 21",2471,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
64,"La Modelo",Ozuna,2418,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
65,"SICKO MODE","Travis Scott",2403,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
66,"Quiero Repetir",Ozuna,2369,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
67,"Mi Forma de Ser",Farruko,2358,https://open.spotify.com/track/752g22kc1OSv5Qb8ywwHYE
68,"Se Preparó",Ozuna,2346,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
69,SAD!,XXXTENTACION,2326,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
70,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",2317,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
71,"God is a woman","Ariana Grande",2238,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
72,Balenciaga,Ozuna,2221,https://open.spotify.com/track/3iIZvct75tkk1CwbqVjsry
73,"La Vuelta","Secreto ""El Famoso Biberon""",2176,https://open.spotify.com/track/6gv565xQpiHTY32i9rouuh
74,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",2175,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
75,Calypso,"Luis Fonsi",2164,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
76,Amorfoda,"Bad Bunny",2125,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
77,Sensualidad,"Bad Bunny",2117,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
78,"Mi Cama","Karol G",2082,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
79,Esperándote,"Manuel Turizo",2060,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
80,Casualidad,Nacho,2052,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
81,"Mi Forma de Ser (feat. Ala Jaza) - Mambo Version",Farruko,2035,https://open.spotify.com/track/3eL5jJwutVux7277wM5qzV
82,"Taste (feat. Offset)",Tyga,2031,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
83,"Dime Si Te Acuerdas","Bad Bunny",2026,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
84,"Epa Wei","Danny Ocean",2015,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
85,Espina,"Anuel Aa",2008,https://open.spotify.com/track/5V83X8DPJ1CxO13xltF8cg
86,Corazón,Maluma,1969,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
87,"Lucid Dreams","Juice WRLD",1943,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
88,Telacuti,"Lo Blanquito",1909,https://open.spotify.com/track/7q94pRfSkniFhYvZYuXox3
89,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",1884,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
90,Dembow,"Danny Ocean",1848,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
91,"Escápate Conmigo (feat. Ozuna)",Wisin,1837,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
92,"Nice For What",Drake,1833,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
93,"Te Necesito","Anuel Aa",1819,https://open.spotify.com/track/5r6EpmKLqEfD7rz7mGuL66
94,"Bum Bam Ven - Remix","Musicologo The Libro",1817,https://open.spotify.com/track/6V2yiB8b0769W0MV1pQ95M
95,"Estamos Clear","Miky Woodz",1816,https://open.spotify.com/track/6IlcjkEw26SeAKvjXSwsVb
96,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,1798,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
