,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Panic Room",Au/Ra,9774,https://open.spotify.com/track/3MkuFR7t25mu7Iscp6GGiV
57,"Psycho (feat. Ty Dolla $ign)","Post Malone",9576,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
58,"Side Effects","The Chainsmokers",9062,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
59,changes,XXXTENTACION,9026,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
60,"Barbie Dreams","Nicki Minaj",9005,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
61,"When I Kissed The Teacher","Lily James",8852,https://open.spotify.com/track/1WOBzx0R3hyphrI1AUv4Zu
62,"New Rules","Dua Lipa",8374,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
63,IDGAF,"Dua Lipa",8374,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
64,Havana,"Camila Cabello",8355,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
65,"Shape of You","Ed Sheeran",8292,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
66,"Why Did It Have To Be Me?","Josh Dylan",8181,https://open.spotify.com/track/6rekLbbb3i42gCgFIXOFvE
67,FRIENDS,Marshmello,8162,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
68,Africa,Toto,7979,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
69,"This Is Me","Keala Settle",7955,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
70,Familiar,"Liam Payne",7908,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
71,"Lost Without You","Freya Ridings",7857,https://open.spotify.com/track/3QlF2ExmrRP0RM7ffv7y0Q
72,"We Don't Care",Sigala,7777,https://open.spotify.com/track/59D6pNWyn8UXPpos5fbAqm
73,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,7749,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
74,"Mamma Mia","Lily James",7736,https://open.spotify.com/track/717z018DWodjJnW6DE7t4z
75,17,MK,7653,https://open.spotify.com/track/15DwFznkBJir7AK9PyMyRR
76,"You Deserve Better","James Arthur",7557,https://open.spotify.com/track/4S1GTwPVpkSy7CsJIDKPEz
77,"Mr. Brightside","The Killers",7469,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
78,"Love Lies (with Normani)",Khalid,7332,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
79,Sober,"Demi Lovato",7262,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
80,"lovely (with Khalid)","Billie Eilish",7123,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,Ketamine,Versatile,7088,https://open.spotify.com/track/34gM5PULxWtqbplXUwbAo8
82,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM","Jason Derulo",7060,https://open.spotify.com/track/7wD6iRghe6SnKHkvHqpnC5
83,"Waterloo - From ""Mamma Mia! Here We Go Again""","Hugh Skinner",7051,https://open.spotify.com/track/37RKadHJqPuVzlM0tDBC3N
84,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",7036,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
85,Budapest,"George Ezra",6939,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
86,SWISH,Tyga,6898,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
87,"Majesty (feat. Eminem & Labrinth)","Nicki Minaj",6853,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
88,"I Fall Apart","Post Malone",6853,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
89,"Feel It Still","Portugal. The Man",6749,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
90,"Look Alive (feat. Drake)","BlocBoy JB",6733,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
91,"Angel Eyes","Christine Baranski",6727,https://open.spotify.com/track/6ERUsU7mPnu6sUQptDACkA
92,"Andante, Andante","Lily James",6600,https://open.spotify.com/track/4pKTaU9Vm7nC5tC0mxjxfI
93,"Follow Your Fire",Kodaline,6569,https://open.spotify.com/track/5s9ZfQasBGM8YLNAhXx7or
94,"Freaky Friday (feat. Chris Brown)","Lil Dicky",6568,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
95,"All Girls Are The Same","Juice WRLD",6537,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
96,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",6466,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
97,Happier,"Ed Sheeran",6464,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
98,Darkside,"Alan Walker",6457,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
99,"Feels Like Home",Sigala,6283,https://open.spotify.com/track/0VoQCaHK0kzgQ6fVtcLChy
100,"Look At Me!",XXXTENTACION,6260,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
101,"All The Stars (with SZA)","Kendrick Lamar",6247,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
102,Unforgettable,"French Montana",6101,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
103,"I'm Yours","Jason Mraz",6049,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
104,"Everybody Dies In Their Nightmares",XXXTENTACION,6042,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
105,Natural,"Imagine Dragons",6012,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
106,"Fine Girl",ZieZie,5963,https://open.spotify.com/track/2H9zpvV33I48HE5jnNvWVB
107,"Oh My",Dappy,5899,https://open.spotify.com/track/5lTBFpNkKWu8nRy3qzEw2h
108,"In My Blood","Shawn Mendes",5850,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
109,Riptide,"Vance Joy",5847,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
110,"The Greatest Show","Hugh Jackman",5785,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
111,"One Of Us","Amanda Seyfried",5753,https://open.spotify.com/track/71CU7N8x2l4b5DEHPXxZfE
112,Thunder,"Imagine Dragons",5736,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
113,Always,"Gavin James",5733,https://open.spotify.com/track/3MQMBm2m3UqpT23doEOZc2
114,"Rewrite The Stars","Zac Efron",5725,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
115,"All For You","Years & Years",5692,https://open.spotify.com/track/3xzmbGtaMnGUUhOcvqIN05
116,"I'm Upset",Drake,5671,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
117,Cola,CamelPhat,5653,https://open.spotify.com/track/1HrMWH5GUdK6Yi94rbANJA
118,"When We Were Young","Picture This",5642,https://open.spotify.com/track/71MBnl6YQe91yWUDhjQRpF
119,"Remind Me to Forget",Kygo,5566,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
120,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",5530,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
121,"This Is America","Childish Gambino",5514,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
122,"Take My Hand","Picture This",5471,https://open.spotify.com/track/7i0f3jhZMdGvVg2XrmQfKi
123,HUMBLE.,"Kendrick Lamar",5460,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
124,"BUTTERFLY EFFECT","Travis Scott",5449,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
125,Breathe,"Jax Jones",5396,https://open.spotify.com/track/0KsB4TwgATg88aXCMBoO3Y
126,"A Million Dreams","Ziv Zaifman",5390,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
127,"Wake Me Up - Radio Edit",Avicii,5373,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
128,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",5357,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
129,"I Miss You (feat. Julia Michaels)","Clean Bandit",5352,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
130,"Came Here for Love",Sigala,5337,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD
131,"Say You Won't Let Go","James Arthur",5309,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
132,"One Dance",Drake,5303,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
133,Connection,OneRepublic,5299,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
134,"Too Good At Goodbyes","Sam Smith",5289,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
135,"Take Me to Church",Hozier,5288,https://open.spotify.com/track/3KYOGt8IO6j8wptkG9THag
136,"Fernando - From ""Mamma Mia! Here We Go Again""",Cher,5257,https://open.spotify.com/track/4btXKZvLKtOfpIU4DR1MW5
137,Anywhere,Sigma,5215,https://open.spotify.com/track/6lD9nDl7jBUSIPDMAMZjuD
138,Halo,Beyoncé,5196,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
139,Perfect,"Ed Sheeran",5192,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
