,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,Natural,"Imagine Dragons",9634,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
58,Nonstop,Drake,9541,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
59,Djadja,"Aya Nakamura",9507,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
60,Ballin,Luciano,9380,https://open.spotify.com/track/1ZxBGZ7pxkh0VwFRp6biXk
61,SWISH,Tyga,9216,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
62,Clandestino,Shakira,9163,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
63,"God's Plan",Drake,9157,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
64,"Vaina Loca",Ozuna,9141,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
65,"Shape of You","Ed Sheeran",8979,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
66,W.L.G,Niska,8961,https://open.spotify.com/track/13E2wgUjmdunrlq3Vbxv8T
67,"Beautiful (feat. Camila Cabello)",Bazzi,8865,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
68,"Don’t Matter To Me (with Michael Jackson)",Drake,8740,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
69,"We Can Do Better","Matt Simons",8660,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
70,Habibo,Veysel,8623,https://open.spotify.com/track/194IS9NnPN3clG6v3BakTR
71,changes,XXXTENTACION,8571,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
72,"Mafiosa (feat. Caroliina)",Lartiste,8561,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
73,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,8460,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
74,"Us Mänsch",Bligg,8452,https://open.spotify.com/track/31FECFP9ymuNzklhLqmaOQ
75,Safe,"Nico Santos",8427,https://open.spotify.com/track/5B7AL4ZcRVNsUzR8WUVxmT
76,"rockstar (feat. 21 Savage)","Post Malone",8403,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
77,"Blah Blah Blah","Armin van Buuren",8235,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
78,"Berlin lebt","Capital Bra",8052,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq
79,"Wann dann","Capital Bra",7936,https://open.spotify.com/track/3LMQL9CSxvUP2m8FeFszP6
80,"X - Remix","Nicky Jam",7666,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
81,"Air Max",Rim'K,7606,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
82,FRIENDS,Marshmello,7572,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
83,"Nice For What",Drake,7431,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
84,Darkside,"Alan Walker",7410,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
85,"Jocelyn Flores",XXXTENTACION,7364,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
86,"High On Life (feat. Bonn)","Martin Garrix",7336,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
87,"Remind Me to Forget",Kygo,7190,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
88,"I'm a Mess","Bebe Rexha",7146,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
89,"no tears left to cry","Ariana Grande",7051,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
90,Happier,"Ed Sheeran",6766,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
91,Paradies,Ufo361,6685,https://open.spotify.com/track/1H2dpkHrEBDkSOcgmwiHD8
92,"Leave a Light On","Tom Walker",6552,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
93,"In die Unendlichkeit",Kollegah,6505,https://open.spotify.com/track/6wGhLzq97DAzDrgOLit3kD
94,"In My Blood","Shawn Mendes",6455,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
95,"Without You (feat. Sandro Cavazza)",Avicii,6383,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
96,"BUTTERFLY EFFECT","Travis Scott",6367,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
97,Perfect,"Ed Sheeran",6342,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
98,"Kennzeichen B-TK","Capital Bra",6258,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
99,Havana,"Camila Cabello",6256,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
100,"An Wunder","Wincent Weiss",6221,https://open.spotify.com/track/1tvLm3VWxauQ1q8po39Io9
101,"No Es Justo","J Balvin",6211,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
102,"Taking A Walk","Trippie Redd",6206,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
103,"Échame La Culpa","Luis Fonsi",6150,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
104,"Oh Child","Robin Schulz",6138,https://open.spotify.com/track/2xw9PXlt8IaCWZjfpJ2HPL
105,VVS,Ufo361,6083,https://open.spotify.com/track/1BIz5sdpxais2KjO6KiWqI
106,"Psycho (feat. Ty Dolla $ign)","Post Malone",6082,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
107,YOSEMITE,"Travis Scott",6077,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
108,"Audio - with Sia, Diplo & Labrinth",Sia,6011,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
109,"Santorini (feat. Veysel)","Summer Cem",5976,https://open.spotify.com/track/1ZQhnmtZ2tq1t3TzguTciR
110,Sonnenbrille,Loredana,5961,https://open.spotify.com/track/14kafeLy8vQRvGhA9nQnC8
111,"KMN Member","KMN Gang",5863,https://open.spotify.com/track/3Cw0IAdjDgjyD4AEY4o2ZW
112,Kawasaki,Hecht,5856,https://open.spotify.com/track/4EXvDUlFLEwGCCoZmqSfMV
113,"La même","Maître Gims",5850,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
114,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",5835,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
115,Crazy,"Lost Frequencies",5787,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
116,"Me Niego",Reik,5754,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
117,Believer,"Imagine Dragons",5660,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
118,"Change Your Mind",ELI,5640,https://open.spotify.com/track/4kOlyvj9WiPrI4zpmzKAeA
119,"lovely (with Khalid)","Billie Eilish",5631,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
120,"The Middle",Zedd,5612,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
121,IDGAF,"Dua Lipa",5572,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
122,Thunder,"Imagine Dragons",5533,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
123,"I'm Yours","Jason Mraz",5508,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
124,"Barbie Dreams","Nicki Minaj",5500,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
125,Penthouse,Eno,5451,https://open.spotify.com/track/43aHoeHvYOBBvzZdopsA4e
126,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",5355,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
127,"STOP TRYING TO BE GOD","Travis Scott",5353,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
128,"Feu de bois",Damso,5308,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
129,Pablo,Rvssian,5295,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
