,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Du bist anders (feat. Ardian Bujupi)",Fard,108254,https://open.spotify.com/track/3y9kOAQhEGrL2rpGFoPtox
58,"Fame (feat. RAF Camora)","Kontra K",102568,https://open.spotify.com/track/1imtCbjVIxYIkurjkye7Dg
59,"Happy Now",Zedd,102080,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
60,"Kennzeichen B-TK","Capital Bra",99699,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
61,Flouz,"Azzi Memo",99417,https://open.spotify.com/track/6LfTpwqGGa7xJ81yqqy12W
62,"Molotov (feat. RAF Camora)","Summer Cem",99411,https://open.spotify.com/track/4OIvBxO2bUD2J9L1hD7IpV
63,"KMN Member","KMN Gang",97149,https://open.spotify.com/track/3Cw0IAdjDgjyD4AEY4o2ZW
64,"Fokus (Jugglerz feat. Miami Yacine, Bausa, Nura & Joshi Mizu)",Jugglerz,95166,https://open.spotify.com/track/49y9Jh6uPCc4DrhmL6yavX
65,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",95113,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
66,"We Can Do Better","Matt Simons",94421,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
67,"God is a woman","Ariana Grande",93350,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
68,"Be Alright","Dean Lewis",93018,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
69,"Ocean (feat. Khalid)","Martin Garrix",90443,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
70,"Was Du Liebe nennst",Bausa,85997,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
71,Supernova,Marteria,85066,https://open.spotify.com/track/58pfccNIRzIHDZVrHMOq3q
72,"I'm a Mess","Bebe Rexha",84989,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
73,"Praise The Lord (Da Shine)","A$AP Rocky",84051,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
74,Moonlight,XXXTENTACION,83891,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
75,Familiar,"Liam Payne",83862,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
76,"5 Songs in einer Nacht","Capital Bra",81715,https://open.spotify.com/track/72gemWtPeCOrRnX4PhjNNk
77,"Mitternacht 2",Kollegah,80261,https://open.spotify.com/track/0W2XzooEtlywvK93oFrLgB
78,VVS,Ufo361,79504,https://open.spotify.com/track/1BIz5sdpxais2KjO6KiWqI
79,Magisch,Olexesh,79351,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t
80,"Zusammen feat. Clueso","Die Fantastischen Vier",78915,https://open.spotify.com/track/35Ma4j9sPWhUAJ471naHV3
81,"rockstar (feat. 21 Savage)","Post Malone",78590,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
82,FRIENDS,Marshmello,77143,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
83,"Chinchilla (feat. KC Rebell & Capital Bra)","Summer Cem",75816,https://open.spotify.com/track/3a5qsP4xawpweFRXgzG6VP
84,"Cika Cika","Ardian Bujupi",75749,https://open.spotify.com/track/5S1a6dGOE1z2zGGDyCdQd7
85,"God's Plan",Drake,75207,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
86,"Beautiful (feat. Camila Cabello)",Bazzi,74673,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
87,Barking,Ramz,71630,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
88,changes,XXXTENTACION,71257,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
89,Flames,"David Guetta",70621,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
90,"La Cintura","Alvaro Soler",70409,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
91,Hoch,"Kontra K",68276,https://open.spotify.com/track/7rWyCELHaVR08xOWupCkiK
92,Nonstop,Drake,66571,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
93,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",66344,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
94,Melody,"Lost Frequencies",65889,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
95,"Ohne mein Team","Bonez MC",65273,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
96,H.O.L.Y.,"Alle Farben",65226,https://open.spotify.com/track/625SfHM2FVyyUj3cT8108G
97,"no tears left to cry","Ariana Grande",64743,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
98,Phänomenal,"Pietro Lombardi",63942,https://open.spotify.com/track/5Tz9FKVUOPZ5nMIbuAlRx4
99,"Shape of You","Ed Sheeran",63401,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
100,Crew,"Summer Cem",63250,https://open.spotify.com/track/0yTONcHCSCMOSMH4rClGiR
101,"Alles vorbei","Summer Cem",62834,https://open.spotify.com/track/4YIXoTRoTF30XBLw5eBL2k
102,"Wake up",Gringo,61606,https://open.spotify.com/track/7KccXeeFFnlZLLR0H9Rmtn
103,Primo,"RAF Camora",60993,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
104,Fiesta,Edin,60558,https://open.spotify.com/track/3QFCYlszjVa8n5crINiwFF
105,X,"Nicky Jam",60310,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
106,"Nice For What",Drake,59569,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
