,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"no tears left to cry","Ariana Grande",7265,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
56,"One Kiss (with Dua Lipa)","Calvin Harris",7090,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
57,"Don't cry Don't cry - (公視:你的孩子不是你的孩子 主題曲)","Waa Wei",6951,https://open.spotify.com/track/5EogtwewXy5Dtd6lUfFfXA
58,"FAKE LOVE",BTS,6948,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
59,"Don’t Matter To Me (with Michael Jackson)",Drake,6935,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
60,讓我留在你身邊,"Eason Chan",6921,https://open.spotify.com/track/07MNtfddtgCo6VrUm3O9dw
61,"我還年輕 我還年輕",老王樂隊,6844,https://open.spotify.com/track/5o48kuQnPwhuRAzO2t0bCU
62,全是愛,"Jam Hsiao",6826,https://open.spotify.com/track/2NrllzhpAiN5FTKBGxYy35
63,FRIENDS,Marshmello,6768,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
64,飄向北方,Namewee,6731,https://open.spotify.com/track/5mS0BGxAAebA3amJg6LkVk
65,"SICKO MODE","Travis Scott",6695,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
66,讓我為你唱情歌,"Jam Hsiao",6371,https://open.spotify.com/track/0BuTVSIbiQGdxW7njjKng7
67,"In My Mind",Dynoro,6263,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
68,演員,"Joker Xue",6259,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
69,言不由衷,"LaLa Hsu",6251,https://open.spotify.com/track/3AIvgFB3YTo349ZlcfOnOo
70,半句再見,"Stefanie Sun",6250,https://open.spotify.com/track/2GbrvTwp37fiJ8JSMGg3Tl
71,"Shape of You","Ed Sheeran",6215,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
72,"Let Me Down Slowly","Alec Benjamin",6035,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
73,"Something Just Like This","The Chainsmokers",5847,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
74,如果雨之後,"Eric Chou",5737,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
75,"說散就散 - ""前任3:再見前任""電影主題曲","Tia Ray",5705,https://open.spotify.com/track/1YfDfk1s3U1iexGila4UC2
76,刚好遇见你,"Li Yugang",5683,https://open.spotify.com/track/262Q20zX8BmAOIA6cFB2t9
77,"One Day (feat. Ryan Tedder)",Logic,5605,https://open.spotify.com/track/6e2PtJYcltVk76nLwxBzRn
78,"Moonlight (feat. 袁婭維)","Will Pan",5589,https://open.spotify.com/track/1hwQKehwDHX3Pu2in29X43
79,"Bed (feat. Ariana Grande)","Nicki Minaj",5468,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
80,"我們 - 《後來的我們》電影主題曲","Eason Chan",5347,https://open.spotify.com/track/0Uf0SvwUrf02ucIt1d0Wos
81,偉大的渺小,"JJ Lin",5259,https://open.spotify.com/track/1P2RxojrM3KEoKgM7pbc9i
82,青春住了誰,"Rainie Yang",5229,https://open.spotify.com/track/0JddqUycMUJv6IoOzwUCVG
83,身後,"A-Mei Chang",5214,https://open.spotify.com/track/5niImrS3tokLyQ8uHKswt1
84,戒菸,"Ronghao Li",5212,https://open.spotify.com/track/65KjitGykI5QIcsYrNhPZR
85,愛過你有多久就有多痛,蕭秉治,5172,https://open.spotify.com/track/0RRT94g1fduf5thBol6fYW
86,"Tie Me Down (with Elley Duhé)",Gryffin,5107,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
